vacc_on,immune_escape,matched_vacc,matched_vacc_level,vfr2,name,rt,max_t,income_group,target_pop,hs_constraints,dt,seeding_cases,age_groups_covered,age_groups_covered_d3,age_groups_covered_d4,age_groups_covered_d5,max_coverage,vacc_period,vacc_start,vaccine_doses,vfr,vfr_time1,vfr_time2,vfr2_time1,vfr2_time2,vaccine,mu_ab_d1,mu_ab_d2,k,hl_l,hl_s,period_s,period_l,ab_50,ab_50_severe,std10,max_ab,mu_ab_infection,std10_infection,mu_ab_inf_scal_vfr,repetition,scenario_name,index
1,0,0,1,5.2,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1125,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,"no escape, vaccine",1
1,0,0,1,5.2,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1155,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,"no escape, vaccine",2
1,0,0,1,5.2,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1185,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,"no escape, vaccine",3
1,0,0,1,5.2,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1125,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,"no escape, vaccine",4
1,0,0,1,5.2,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1155,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,"no escape, vaccine",5
1,0,0,1,5.2,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1185,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,"no escape, vaccine",6
1,1,0,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1125,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: unmatched vaccine,7
1,1,0,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1155,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: unmatched vaccine,8
1,1,0,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1185,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: unmatched vaccine,9
1,1,0,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1125,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: unmatched vaccine,10
1,1,0,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1155,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: unmatched vaccine,11
1,1,0,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1185,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: unmatched vaccine,12
1,1,1,0.5,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1125,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: partially matched vaccine,13
1,1,1,0.5,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1155,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: partially matched vaccine,14
1,1,1,0.5,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1185,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: partially matched vaccine,15
1,1,1,0.5,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1125,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: partially matched vaccine,16
1,1,1,0.5,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1155,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: partially matched vaccine,17
1,1,1,0.5,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1185,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: partially matched vaccine,18
1,1,1,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1125,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: matched vaccine,19
1,1,1,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1155,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: matched vaccine,20
1,1,1,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1185,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: matched vaccine,21
1,1,1,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1125,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: matched vaccine,22
1,1,1,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1155,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: matched vaccine,23
1,1,1,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1185,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: matched vaccine,24
0,0,0,1,5.2,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1825,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,"no escape, no vaccine",25
0,0,0,1,5.2,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1825,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,"no escape, no vaccine",26
0,0,0,1,5.2,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1825,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,"no escape, no vaccine",27
0,0,0,1,5.2,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1825,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,"no escape, no vaccine",28
0,0,0,1,5.2,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1825,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,"no escape, no vaccine",29
0,0,0,1,5.2,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1825,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,"no escape, no vaccine",30
0,1,0,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1825,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: no vaccine,31
0,1,0,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1825,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: no vaccine,32
0,1,0,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,5,14,14,14,0.8,60,1825,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: no vaccine,33
0,1,0,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1825,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: no vaccine,34
0,1,0,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1825,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: no vaccine,35
0,1,0,1,10,scenario1,10,1825,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,60,1825,1,5.2,1,30,1095,1185,vaccine,1.13,1.13,3.1,1000,35,75,565,0.04,0.005,0.44,5,1.13,0.44,1,1,escape: no vaccine,36
